user_name,tone,time_date,text,date_column
ImranKhanPTI,negative,2022-10-30 14:07:08,shocked amp deeply saddened by the terrible accident that led to the death of channel reporter sadaf naeem during our march today i have no words to express my sorrow my prayers amp condolences go to the family at this tragic time we have cancelled our march for today,2022-10-30 14:07:08
ImranKhanPTI,positive,2022-10-29 17:37:22,for all those spreading rumours about my mtg in lahore the reason we returned was bec lahore was closer amp we had already decided not move at night the only demand i have had for mths is date for early fair amp free elections that will be the only demand if talks are to be held,2022-10-29 17:37:22
ImranKhanPTI,neutral,2022-10-28 18:43:41,congratulations to abid zuberi on his election as president scba,2022-10-28 18:43:41
ImranKhanPTI,positive,2022-10-24 11:28:55,we saw a foreign abetted regime change conspiracy taking place sending pak into chaos but senior judiciary continues to remain aloof when will the judiciary move to act against state institutions that are defying all laws amp violating the constitution it is high time they did,2022-10-24 11:28:55
ImranKhanPTI,negative,2022-10-24 11:28:54,amp safeguarded against excesses by the state amp govt we have seen citizens politicians journalists amp human rights defenders intimidatedarrested charged with terrorism amp incitement to mutiny torturedwe see fake cases misuse of power by different executive branches expanding,2022-10-24 11:28:54
ImranKhanPTI,neutral,2022-10-24 11:28:53,arshad sharifs murder has sent shockwaves across pak it has highlighted an ongoing targeting of anyone who dares to criticise or question those holding powerwhen will our senior judiciary act to ensure our citizens fundamental rights enshrined in the constitution are protected,2022-10-24 11:28:53
ImranKhanPTI,negative,2022-10-24 07:48:41,my prayers and condolences go to his grief stricken family,2022-10-24 07:48:41
ImranKhanPTI,positive,2022-10-24 07:48:40,a proper judicial investigation must be instituted to examine his own statements plus evidence that other sources have we have descended into a state of brutality unknown in civilised society indulged in by the powerful against those who dare to criticise amp expose wrongdoings,2022-10-24 07:48:40
ImranKhanPTI,negative,2022-10-24 07:48:39,shocked at the brutal murder of arshad sharif who paid the ultimate price for speaking the truth his life he had to leave the country amp be in hiding abroad but he continued to speak the truth on social media exposing the powerful today the entire nation mourns his death,2022-10-24 07:48:39
ImranKhanPTI,positive,2022-10-20 03:52:10,saddened to learn of young pti tiger taha sheikhs death on th oct he was shot in front of his house in what looks like a targeted hit taha succumbed to his injuries amp passed away sindh police has yet to arrest the culprits my prayers amp condolences go to his family,2022-10-20 03:52:10
ImranKhanPTI,positive,2022-10-19 17:08:11,strongly condemn the attack on pti karachi president mpa bilal ghafar by ppp goons lead by their mpa saleem baloch surprised to see that police has still not registered fir against the attackers even when many of them were eyewitness to this assassination attempt on bilal,2022-10-19 17:08:11
ImranKhanPTI,neutral,2022-10-16 03:49:30,everyone must turnout to vote in all the constituencies where bye elections are being held today this is a referendum for haqiqi azadi from the cabal of crooks we are contesting against all of pdm the election commission and namaloom afraad,2022-10-16 03:49:30
ImranKhanPTI,positive,2022-10-15 08:37:15,my greatest worry is that apart from leading us to economic ruin amp with nro for themselves giving a license to white collar criminals to plunder the country this govt will also end up completely compromising our national security,2022-10-15 08:37:15
ImranKhanPTI,negative,2022-10-15 08:37:14,across the world when has pakistan shown aggression esp postnuclearisation equally impthis biden statement shows total failure of imported govts foreign policy amp its claims of reset of relations with us is this the resetthis govt has broken all records for incompetence,2022-10-15 08:37:14
ImranKhanPTI,neutral,2022-10-13 13:26:30,which he dispenses according to our deeds those who have allowed the biggest criminals not only to evade accountability after stealing billions from the nation but to come to power again are destined to be humiliated,2022-10-13 13:26:30
ImranKhanPTI,neutral,2022-10-13 13:26:30,azam swatis custodial torture for a tweet on nro is yet another shameful act in our history can torture amp intimidation make people respect any individual or institution the holy quran teaches us respect amp humiliation are solely in allahs jurisdiction,2022-10-13 13:26:30
ImranKhanPTI,positive,2022-10-10 09:52:52,is responsible for the bugging amp who is leaking out the audios many of which are editeddoctored this is critical bec sensitive security issues are amp have been illegally recorded amp subsequently hacked implying confidentiality of paks national security has been exposed globally,2022-10-10 09:52:52
ImranKhanPTI,positive,2022-10-10 09:52:52,the audioleaks are a serious breach of national security as they call into question the entire security of the pmo pmh as pm my secure line at my residence was also bugged we intend to go to court to estab authenticity of leaks amp then form jit to investigate which intel agency,2022-10-10 09:52:52
ImranKhanPTI,positive,2022-10-07 16:19:56,above all they have given themselves immunity from their corruption cases worth billion,2022-10-07 16:19:56
ImranKhanPTI,neutral,2022-10-04 19:15:51,i thank our overseas donors who waited patiently while we were setting up an account to facilitate floodrelief donations details as follows title insaf relief foundation no southwestern national bank west ball road suite anaheim ca tel,2022-10-04 19:15:51
ImranKhanPTI,positive,2022-10-04 14:44:34,i also want to thank millions of donors amp supporters who make it possible for us to continue providing world class cancer treatment completely free of charge to over of our patients i have always said there is nothing we cant achieve as a nation if we put our minds to it,2022-10-04 14:44:34
ImranKhanPTI,negative,2022-10-04 14:44:32,as well as our diagnostic centres in karachi amp lahore have all been awarded the jcis gold seal of approval the global gold standard for excellence in quality healthcare i want to thank the thousands of people who work at shaukat khanum for their hard work and dedication,2022-10-04 14:44:32
ImranKhanPTI,positive,2022-10-04 14:44:31,i am delighted to announce that shaukat khanum has become only the second organisation in the world to be awarded full enterprise accreditation by the joint commission international after a gruelling threeweek survey in augsept our hospitals in lahore amp peshawar,2022-10-04 14:44:31
ImranKhanPTI,positive,2022-09-29 13:22:15,congratulations to crown prince mohammed bin salman on being appointed prime minister of the kingdom of saudi arabia your friendship amp support for pakistan is invaluable and with your vision you will usher the kingdom into a new era,2022-09-29 13:22:15
ImranKhanPTI,positive,2022-09-26 13:41:52,tragic army heli crash in which soldiers were martyred near khost harnai balochistan my deepest condolences and prayers go to the families of these brave soldiers,2022-09-26 13:41:52
ImranKhanPTI,positive,2022-09-19 03:51:55,including three barrages conserving bn litres of water for much needed aquifer of lahore rakh jhok initiated last yr is part of acres of reforestation environment plan embankments will be built with innovative method of using natural soil to prevent flooding,2022-09-19 03:51:55
ImranKhanPTI,negative,2022-09-18 03:57:53,tasked with converting dead capital into viable transactions channeling wealth generation for the country similar projects with immense potential will be launched across punjab leading to econ growth amp prosperity by providing multiple opportunities for domestic amp fdi,2022-09-18 03:57:53
ImranKhanPTI,positive,2022-09-16 09:12:10,imported govt is completely directionless the only achievement of this cabal of crooks has been to get another nro for the billions they looted from pakistan the question the whole nation is asking is who is responsible for this conspiracy against pakistan,2022-09-16 09:12:10
ImranKhanPTI,positive,2022-09-16 09:12:09,in terms of growth rate industry agriculture employment construction exports remittances amp tax collection at an all time high now pakistan faces unprecedented inflation hitting everyone unemployment food insecurity amp rupee in freefall,2022-09-16 09:12:09
ImranKhanPTI,positive,2022-09-16 09:12:08,imf amp world bank reports show this imported govt has failed to prevent economy going into tailspin despite inheriting a stabilised economy moving on an upward trajectory this was reflected in the economic survey which identified our econ performance as the best in past yrs,2022-09-16 09:12:08
ImranKhanPTI,neutral,2022-09-13 17:29:46,their desperation led to their blacking out our telethon for flood relief today they raided senator saif nyazees home amp took away his cell amp computer imported govt amp handlers are pushing us to the wall i am warning them there will be consequences they will have to face,2022-09-13 17:29:46
ImranKhanPTI,negative,2022-09-13 17:29:45,on the one hand imported govt telling us to stop doing politics bec of floods amp on the other hand they are increasing their level of harassment amp false cases against us persecuting journalists who give our views a voice suspending tv channels amp youtube to prevent my coverage,2022-09-13 17:29:45
ImranKhanPTI,positive,2022-09-12 09:39:39,we know your cabal of crooks amp handlers are petrified of pti popularity but if you are not responsible for violating our constitutional rights amp int commitments on freedom of press amp speech then it is your responsibility to inform nation who is responsible for these actions,2022-09-12 09:39:39
ImranKhanPTI,negative,2022-09-12 09:39:39,question for shahbaz sharif are you out of ptifear responsible for media gags on us threat amp violence against journalists amp fake cases against them forcing blackout of pti amp myself from tv amp youtube amp the callous act of trying to blackout my flood relief telethon,2022-09-12 09:39:39
ImranKhanPTI,neutral,2022-09-12 06:11:35,despite all this we managed to raise rs billion in just hours i want to thank everyone who pledged incl our overseas pakistanis especially those based in the us,2022-09-12 06:11:35
ImranKhanPTI,negative,2022-09-12 06:11:34,this shows how petrified they are of our rising popularity amongst the nation also they know no one trusts them with their money given their record of loot amp plunder so they sought to deny fundraising to aid flood victims just to get at me amp my party unbelievable callousness,2022-09-12 06:11:34
ImranKhanPTI,positive,2022-09-12 06:11:33,imported govt of cabal of crooks amp their handlers stooped to new lows last night when they tried to blackout my telethon for flood relief fund raising first they pressured channels not to air telethon when some channels continued to air telethon they threatened cable operators,2022-09-12 06:11:33
ImranKhanPTI,negative,2022-09-09 12:47:46,tomorrow our gujranwala jalsa will be last of our present phase of haqiqi azadi movement i will announce the next critical phase at the jalsa imported govt amp its handlers are so petrified that nation is standing firmly behind pti they are desperately moving on minus formula,2022-09-09 12:47:46
ImranKhanPTI,positive,2022-09-07 06:49:45,interested only in saving its looted wealth through nro this fascist govt of cabal of crooks amp their backers are willing to harm the interests of pakistan simply out of fear of ptis soaring popularity utterly callous amp unacceptable enoughlsenough,2022-09-07 06:49:45
ImranKhanPTI,negative,2022-09-07 06:49:43,imported govt is so fearful of the nation rising in support of my message of haqiqi azadi that they are imposing complete blackout of my speeches not only from mainstream media but also by blocking youtube digital censorship hurts entire it sector amp damages paks image globally,2022-09-07 06:49:43
ImranKhanPTI,positive,2022-09-06 06:16:14,am following intense propaganda launched by pdm cabal of crooks against methis stems from their being petrified of ptis soaring popularity today in peshawar jalsa i will give proper reply to all those who have deliberately been distorting my words to malign meenough is enough,2022-09-06 06:16:14
ImranKhanPTI,negative,2022-09-05 12:10:37,i just met my team amp am now devising a policy of how we can contribute to alleviate the suffering of the people of sindh from the devastating floods we will start by donating rs billion from the funds collected from the telethon,2022-09-05 12:10:37
